claim_id,source_id,retrieval_date,source_available,metadata_result,exact_claim_result,demonstrated_context_result,evidence_grade_result,transfer_limit_result,independent_result,source_location,independent_evidence_note
SC-015,KRUK-2022,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/2202.00246,"Primary arXiv record reports 1,701 HST trails; the bounded precision/recall operating point does not confirm unidentified trails as discoveries."
SC-016,GARCIA-MARTIN-2025,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1051/0004-6361/202452756,"Primary paper table separates synthetic precision 0.82 from real precision 0.44, directly supporting a domain-shift warning."
SC-017,GWYN-2012,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1204.4182,"Primary SSOS abstract documents targeted object/ephemeris archive search over 6.5 million images, not blind discovery."
SC-018,BERTHIER-2006,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://ssp.imcce.fr/webservices/skybot/,Official SkyBoT documentation supports field/epoch identification and ephemerides of known objects and warns about orbit-position uncertainty.
SC-019,2MASS-AST,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://www.ipac.caltech.edu/2mass/releases/spr99/doc/sec3_3h.html,Official 2MASS documentation supports time/footprint gating and a two-dimensional statistic using combined covariance; associations are not discoveries.
SC-020,RODRIGUEZ-FERNANDEZ-2019,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://conference.sdo.esoc.esa.int/proceedings/neosst1/paper/429,"ESA primary proceedings abstract supports attributable compression, physical prefilters, and Bayesian multiple-hypothesis association for GEO/MEO targets."
SC-021,CALDAS-2024,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1016/j.actaastro.2024.03.072,"The Caldas survey is explicitly framed around RSOs, debris/satellites, orbit prediction, and atmospheric-density modeling; no short-arc NEO transfer is shown."
SC-022,KUBICA-2007,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/astro-ph/0703475,Primary arXiv abstract reports near-100% simulated linkage under stated assumptions and exposes severe accuracy stress at realistic false density.
SC-023,CARPINO-2003,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1016/S0019-1035(03)00051-4,"Primary Icarus abstract supports empirical astrometric weighting, correlation modeling, and automatic outlier treatment."
SC-024,MOEYENS-2021,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.3847/1538-3881/ac042b,"Primary THOR article supports test-orbit transforms, Hough clustering, OD filtering, and bounded ZTF performance outside 1.7 au."
SC-025,HOLMAN-2018,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1805.02638,"Primary arXiv abstract supports heliocentric clustering, O(N log N), and approximately 41,000 ITF-linked objects."
SC-026,FASBENDER-2021,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://baas.aas.org/pub/2021n1i405p06,"Primary BAAS abstract reports 96% below 200 arcsec/hr and over 500,000 NSC DR1 tracklets; it is abstract-level and not ML-linking evidence."
SC-027,MUINONEN-2001,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1006/icar.2001.6592,Primary Icarus abstract describes Bayesian Monte Carlo statistical ranging for poorly observed single-apparition asteroids with two or more observations.
SC-028,FARNOCCHIA-2015,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1504.00025,Primary paper describes hours-or-less arcs and systematic rastering in topocentric range/range-rate; this does not authorize impact claims.
SC-029,RODRIGUEZ-2024,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/2401.01202,"Primary arXiv abstract supports Keplerian-integral pairing, graph edges/3-cycles, least squares, and attribution."
SC-030,VADUVESCU-2009,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/0906.5030,"Primary arXiv abstract describes known-object archive-log searches classified as precovery/recovery, not blind discovery."
SC-031,MILANI-2004,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1007/s10569-004-6593-5,Primary metadata and paper lineage define attributable-based physically constrained admissible regions for very short arcs.
SC-032,SAIFOLLAHI-2023,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/2303.03164,"Primary arXiv abstract separately reports predicted detectability, achieved recovery, and astrometric quality in VST archive mining."
SC-033,DENNEAU-2013,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://arxiv.org/abs/1302.7281,The exact MOPS paper title and 2013 metadata match; the paper's orbit-determination section supports initial and differential correction within MOPS only.
SC-034,GRANVIK-2009,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1111/j.1945-5100.2009.tb01994.x,Primary OpenOrb paper/software record confirms open-source asteroid orbit computation including statistical ranging.
SC-035,CALDAS-2024,2026-08-24,YES,PASS,PASS,PASS,PASS,PASS,PASS,https://doi.org/10.1016/j.actaastro.2024.03.072,"Crossref/Elsevier and the open primary manuscript confirm the exact 2024 title and RSO/artificial-satellite scope; they support a transfer warning only, not a global absence claim."
